frequency=10000
wave0	Time
1.436064	0.148454
1.431040	0.148458
1.441088	0.148461
1.410944	0.148465
1.436064	0.148468
1.436064	0.148472
1.431040	0.148475
1.431040	0.148479
1.436064	0.148482
1.436064	0.148486
1.436064	0.148489
1.431040	0.148492
1.431040	0.148496
1.436064	0.148499
1.436064	0.148503
1.431040	0.148506
1.431040	0.148510
1.426016	0.148513
1.426016	0.148516
1.420992	0.148520
1.426016	0.148523
1.436064	0.148527
1.436064	0.148530
1.431040	0.148534
1.436064	0.148537
1.431040	0.148541
1.431040	0.148544
1.431040	0.148547
1.431040	0.148551
1.431040	0.148554
1.436064	0.148558
1.431040	0.148561
1.426016	0.148564
1.431040	0.148568
1.431040	0.148571
1.436064	0.148575
1.436064	0.148578
1.436064	0.148582
1.436064	0.148585
1.426016	0.148588
1.431040	0.148592
1.431040	0.148595
1.431040	0.148599
1.431040	0.148602
1.431040	0.148606
1.436064	0.148609
1.436064	0.148613
1.441088	0.148616
1.436064	0.148619
1.431040	0.148623
1.436064	0.148626
1.436064	0.148630
1.436064	0.148633
1.431040	0.148637
1.426016	0.148640
1.431040	0.148643
1.426016	0.148647
1.420992	0.148650
1.426016	0.148654
1.426016	0.148657
1.431040	0.148661
1.426016	0.148664
1.431040	0.148668
1.431040	0.148671
1.426016	0.148674
1.431040	0.148678
1.426016	0.148681
1.431040	0.148685
1.436064	0.148688
1.436064	0.148691
1.436064	0.148695
1.426016	0.148703
1.436064	0.148707
1.431040	0.148710
1.436064	0.148714
1.431040	0.148717
1.436064	0.148721
1.431040	0.148724
1.436064	0.148728
1.436064	0.148731
1.431040	0.148734
1.436064	0.148738
1.436064	0.148741
1.436064	0.148745
1.431040	0.148748
1.436064	0.148752
1.436064	0.148755
1.436064	0.148758
1.426016	0.148762
1.431040	0.148765
1.436064	0.148769
1.441088	0.148772
1.436064	0.148776
1.431040	0.148779
1.431040	0.148783
1.436064	0.148786
1.431040	0.148789
1.436064	0.148793
1.426016	0.148796
1.436064	0.148800
1.431040	0.148803
1.431040	0.148807
1.436064	0.148810
1.431040	0.148813
1.436064	0.148817
1.436064	0.148820
1.436064	0.148824
1.431040	0.148827
1.431040	0.148830
1.431040	0.148834
1.436064	0.148838
1.436064	0.148841
1.436064	0.148844
